Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,1e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,20,20,10,100
Vertical Units,V,V,A,V
Vertical Offset,0,0,0,0
Vertical Scale,20,20,2,50
Label,,,,
TIME,CH1,CH2,CH3,CH4
-8.0000e-02,-1.03516,0.09375,-1.4043,149.736
-7.9992e-02,-0.875,0.109375,-1.41797,149.658
-7.9984e-02,-0.804688,0.125,-1.46016,149.697
-7.9976e-02,-0.648438,0.117188,-1.42031,149.814
-7.9968e-02,-0.976562,0.101562,-1.44375,149.775
-7.9960e-02,-0.898438,0.078125,-1.46523,149.609
-7.9952e-02,-0.792969,0.109375,-1.41055,149.57
-7.9944e-02,-0.675781,0.109375,-1.40742,149.697
-7.9936e-02,-0.28125,0.046875,-1.4457,149.727
-7.9928e-02,-0.160156,0.136719,-1.43047,149.736
-7.9920e-02,-0.132812,0.09375,-1.4332,149.746
-7.9912e-02,0.03125,-0.0117188,-1.44609,149.521
-7.9904e-02,-0.265625,0.0742188,-1.43359,149.775
-7.9896e-02,-0.132812,0.078125,-1.43398,149.707
-7.9888e-02,-0.015625,0.125,-1.43594,149.687
-7.9880e-02,0.015625,0.125,-1.44688,149.697
-7.9872e-02,0.464844,0.125,-1.43477,149.697
-7.9864e-02,0.613281,0.15625,-1.43516,149.658
-7.9856e-02,0.726562,0.125,-1.44805,149.668
-7.9848e-02,0.699219,0.078125,-1.42578,149.805
-7.9840e-02,0.445312,0.132812,-1.43398,149.658
-7.9832e-02,0.582031,0.125,-1.44688,149.687
-7.9824e-02,0.625,0.125,-1.43398,149.639
-7.9816e-02,0.777344,0.078125,-1.42578,149.639
-7.9808e-02,1.30859,0.109375,-1.39375,149.697
-7.9800e-02,1.30078,0.0664062,-1.43008,149.57
-7.9792e-02,1.35547,0.09375,-1.41563,149.736
-7.9784e-02,1.51172,0.0898438,-1.4293,149.6
-7.9776e-02,1.28125,-0.0429688,-1.45547,149.697
-7.9768e-02,1.31641,0.125,-1.4332,149.727
-7.9760e-02,1.43359,0.09375,-1.41211,149.531
-7.9752e-02,1.51953,0.125,-1.44102,149.434
-7.9744e-02,1.89453,0.015625,-1.40352,149.658
-7.9736e-02,2.16406,0.121094,-1.39141,149.297
-7.9728e-02,2.14844,0.132812,-1.40352,149.697
-7.9720e-02,2.39062,0.125,-1.38828,149.697
-7.9712e-02,1.98828,0.128906,-1.43008,149.619
-7.9704e-02,2.23438,0.125,-1.40977,149.668
-7.9696e-02,2.28516,0.148438,-1.40195,149.57
-7.9688e-02,2.31641,0.09375,-1.40195,149.648
-7.9680e-02,2.83203,0.125,-1.36289,149.697
-7.9672e-02,2.9375,0.125,-1.39961,149.746
-7.9664e-02,3.13672,0.117188,-1.39531,149.697
-7.9656e-02,3.11719,-0.0898438,-1.37305,149.658
-7.9648e-02,2.86719,0.09375,-1.37813,149.678
-7.9640e-02,2.87891,-0.0234375,-1.39844,149.727
-7.9632e-02,3.04688,0.09375,-1.38281,149.678
-7.9624e-02,3.19141,0.160156,-1.37578,149.639
-7.9616e-02,3.65234,0.121094,-1.35898,149.736
-7.9608e-02,3.87891,0.140625,-1.34336,149.766
-7.9600e-02,3.88672,0.113281,-1.32305,149.766
-7.9592e-02,4.00391,0.078125,-1.34102,149.58
-7.9584e-02,3.71875,0.128906,-1.3668,149.854
-7.9576e-02,3.80078,0.125,-1.35664,149.814
-7.9568e-02,3.86328,0.015625,-1.34492,149.736
-7.9560e-02,4.03906,0.125,-1.33672,149.736
-7.9552e-02,4.43359,0.03125,-1.31094,149.736
-7.9544e-02,4.53516,0.046875,-1.32227,149.707
-7.9536e-02,4.625,0.125,-1.33828,149.824
-7.9528e-02,4.78125,0.125,-1.32227,149.629
-7.9520e-02,4.56641,0.144531,-1.30781,149.668
-7.9512e-02,4.50781,0.132812,-1.31211,149.629
-7.9504e-02,4.74609,0.125,-1.34023,149.551
-7.9496e-02,4.70312,0.09375,-1.31484,149.697
-7.9488e-02,5.28125,-0.0273438,-1.27305,149.697
-7.9480e-02,5.36328,0.09375,-1.28906,149.697
-7.9472e-02,5.41016,0.125,-1.29375,149.678
-7.9464e-02,5.61719,0.09375,-1.28242,149.707
-7.9456e-02,5.32812,0.125,-1.2918,149.775
-7.9448e-02,5.42969,0.109375,-1.29219,149.697
-7.9440e-02,5.47266,0.125,-1.26211,149.541
-7.9432e-02,5.57031,0.09375,-1.28711,149.775
-7.9424e-02,6.125,-0.0117188,-1.23047,149.404
-7.9416e-02,6.14062,0.09375,-1.24648,149.687
-7.9408e-02,6.28516,0.144531,-1.2168,149.619
-7.9400e-02,6.28125,0.144531,-1.2543,149.639
-7.9392e-02,6.05859,0.136719,-1.25938,149.775
-7.9384e-02,6.17578,0.125,-1.25781,149.639
-7.9376e-02,6.29688,0.140625,-1.24219,149.697
-7.9368e-02,6.36328,0.132812,-1.23359,149.512
-7.9360e-02,6.88281,0.125,-1.1957,149.697
-7.9352e-02,6.97266,0.125,-1.22578,149.648
-7.9344e-02,7.13281,0.078125,-1.18555,149.687
-7.9336e-02,7.04688,0.125,-1.16953,149.619
-7.9328e-02,6.91016,0.125,-1.19141,149.814
-7.9320e-02,6.86328,0.125,-1.18555,149.775
-7.9312e-02,7.04688,0.109375,-1.16836,149.355
-7.9304e-02,7.19141,0.09375,-1.1543,149.687
-7.9296e-02,7.50781,0.132812,-1.12227,149.678
-7.9288e-02,7.64062,0.09375,-1.13672,149.736
-7.9280e-02,7.81641,0.140625,-1.13047,149.551
-7.9272e-02,7.83984,0.113281,-1.11406,149.697
-7.9264e-02,7.57812,0.078125,-1.13867,149.16
-7.9256e-02,7.72656,0.125,-1.15391,149.678
-7.9248e-02,7.67578,0.160156,-1.12148,149.629
-7.9240e-02,7.85938,0.128906,-1.13008,149.697
-7.9232e-02,8.18359,0.144531,-1.06719,149.629
-7.9224e-02,8.24609,0.125,-1.07344,149.453
-7.9216e-02,8.375,0.136719,-1.08359,149.609
-7.9208e-02,8.55469,0.101562,-1.06133,149.697
-7.9200e-02,8.25391,0.125,-1.07148,149.658
-7.9192e-02,8.30859,0.078125,-1.11836,149.414
-7.9184e-02,8.41406,0.125,-1.07539,149.736
-7.9176e-02,8.48438,0.105469,-1.04805,149.697
-7.9168e-02,8.95312,0.0976562,-1.01094,149.697
-7.9160e-02,9.125,0.125,-1.01953,149.541
-7.9152e-02,9.09375,0.0859375,-1.01914,149.746
-7.9144e-02,9.16797,0.00390625,-1.01055,149.687
-7.9136e-02,8.90625,0.128906,-1.04453,149.609
-7.9128e-02,9,0.125,-1.0207,149.854
-7.9120e-02,9.11719,0.113281,-0.999609,149.717
-7.9112e-02,9.21875,0.132812,-1.01211,149.678
-7.9104e-02,9.62891,0.109375,-0.960938,149.736
-7.9096e-02,9.66016,0.109375,-0.938281,149.736
-7.9088e-02,9.875,0.164062,-0.968359,149.629
-7.9080e-02,9.82422,0.128906,-0.936328,149.658
-7.9072e-02,9.58203,0.0507812,-0.995313,149.6
-7.9064e-02,9.68359,0.136719,-0.989453,149.697
-7.9056e-02,9.81641,0.125,-0.952344,149.668
-7.9048e-02,9.86719,0.175781,-0.927734,149.346
-7.9040e-02,10.3672,0.09375,-0.883203,149.697
-7.9032e-02,10.4141,0.152344,-0.877734,149.619
-7.9024e-02,10.5312,0.140625,-0.863672,149.629
-7.9016e-02,10.5156,0.109375,-0.867578,149.668
-7.9008e-02,10.3906,0.125,-0.906641,149.668
-7.9000e-02,10.5039,0.132812,-0.870313,149.639
-7.8992e-02,10.4453,0.125,-0.864453,149.736
-7.8984e-02,10.6055,0.125,-0.867578,149.697
-7.8976e-02,11.1484,0.128906,-0.813281,149.697
-7.8968e-02,11.125,0.117188,-0.792578,149.697
-7.8960e-02,11.2109,0.140625,-0.795313,149.639
-7.8952e-02,11.3789,0.0625,-0.819922,149.521
-7.8944e-02,11.0312,0.136719,-0.814453,149.58
-7.8936e-02,11.1758,0.09375,-0.826953,149.697
-7.8928e-02,11.1758,0.128906,-0.801563,149.668
-7.8920e-02,11.3516,0.132812,-0.794141,149.678
-7.8912e-02,11.8711,0.238281,-0.758594,149.463
-7.8904e-02,11.8828,0.125,-0.730859,149.648
-7.8896e-02,11.9805,0.125,-0.712109,149.658
-7.8888e-02,12.1289,0.125,-0.716406,149.541
-7.8880e-02,11.8359,-0.0507812,-0.734375,149.775
-7.8872e-02,12.0312,0.113281,-0.736328,149.697
-7.8864e-02,12.0391,0.125,-0.734375,149.658
-7.8856e-02,12.0508,0.125,-0.695313,149.619
-7.8848e-02,12.6172,0.109375,-0.666406,149.629
-7.8840e-02,12.6328,0.125,-0.643359,149.697
-7.8832e-02,12.793,0.0976562,-0.638281,149.717
-7.8824e-02,12.8789,0.128906,-0.623438,149.639
-7.8816e-02,12.5742,0.109375,-0.661719,149.502
-7.8808e-02,12.707,0.140625,-0.659766,149.697
-7.8800e-02,12.7539,0.148438,-0.634375,149.697
-7.8792e-02,12.8359,0.144531,-0.626563,149.834
-7.8784e-02,13.3516,0.152344,-0.559766,149.668
-7.8776e-02,13.4023,0.0625,-0.5375,149.697
-7.8768e-02,13.6445,0.09375,-0.526172,149.746
-7.8760e-02,13.6211,0.125,-0.535547,149.629
-7.8752e-02,13.4219,0.183594,-0.556641,149.648
-7.8744e-02,13.4883,0.125,-0.540234,149.687
-7.8736e-02,13.5703,0.117188,-0.574609,149.551
-7.8728e-02,13.8359,0.121094,-0.548438,149.521
-7.8720e-02,14.1406,0.125,-0.483984,149.658
-7.8712e-02,14.3008,0.15625,-0.479297,149.697
-7.8704e-02,14.3594,0.109375,-0.466016,149.59
-7.8696e-02,14.6055,0.128906,-0.444531,149.697
-7.8688e-02,14.1875,0.144531,-0.455078,149.629
-7.8680e-02,14.2812,0.09375,-0.439453,149.385
-7.8672e-02,14.4141,0.136719,-0.455078,149.658
-7.8664e-02,14.4258,0.109375,-0.45625,149.629
-7.8656e-02,14.918,0.125,-0.386328,149.6
-7.8648e-02,15.0234,0.140625,-0.379297,149.717
-7.8640e-02,15.1367,0.117188,-0.358984,149.746
-7.8632e-02,15.1289,0.160156,-0.338281,149.727
-7.8624e-02,15.0156,0.125,-0.380078,149.736
-7.8616e-02,15,0.128906,-0.373438,149.697
