Model,TBS2104
Firmware Version,v1.26.0

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,1e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,20,20,10,100
Vertical Units,V,V,A,V
Vertical Offset,0,0,0,0
Vertical Scale,20,20,2,50
Label,,,,
TIME,CH1,CH2,CH3,CH4
-8.0000e-02,-1.51562,0.0625,-5.39766,119.961
-7.9992e-02,-1.12109,0.328125,-5.27891,120.273
-7.9984e-02,-0.984375,0.359375,-5.41016,118.984
-7.9976e-02,-1.04297,0.0625,-5.37461,120.039
-7.9968e-02,-1.03125,-0.078125,-5.37578,119.844
-7.9960e-02,-0.476562,0,-5.30195,119.248
-7.9952e-02,-0.402344,-0.390625,-5.34531,119.883
-7.9944e-02,-0.730469,-0.046875,-5.41016,119.844
-7.9936e-02,-0.6875,-0.09375,-5.38398,119.922
-7.9928e-02,-0.152344,-0.109375,-5.45,118.77
-7.9920e-02,-0.652344,-0.386719,-5.37656,119.727
-7.9912e-02,-0.574219,-0.09375,-5.33945,119.248
-7.9904e-02,-0.117188,-0.078125,-5.29375,120.693
-7.9896e-02,-0.0898438,0.320312,-5.37188,119.805
-7.9888e-02,-0.0117188,-0.03125,-5.46094,119.961
-7.9880e-02,0.109375,0.046875,-5.35352,120.693
-7.9872e-02,0.507812,0.320312,-5.43984,119.961
-7.9864e-02,0.09375,-0.425781,-5.33594,118.721
-7.9856e-02,0.585938,-0.300781,-5.41914,119.082
-7.9848e-02,0.679688,-0.078125,-5.31992,119.844
-7.9840e-02,0.328125,0,-5.34844,119.922
-7.9832e-02,0.378906,-0.136719,-5.26445,119.766
-7.9824e-02,0.878906,-0.0625,-5.35859,119.844
-7.9816e-02,0.894531,-0.046875,-5.34805,119.697
-7.9808e-02,0.632812,-0.046875,-5.38008,119.775
-7.9800e-02,1.37109,-0.109375,-5.25156,119.961
-7.9792e-02,1.09375,-0.046875,-5.32617,119.883
-7.9784e-02,1.45312,-0.015625,-5.31992,119.775
-7.9776e-02,1.50391,-0.359375,-5.27656,119.639
-7.9768e-02,1.29297,-0.121094,-5.39297,119.961
-7.9760e-02,1.63672,-0.109375,-5.28984,118.877
-7.9752e-02,1.36328,0.03125,-5.32969,119.727
-7.9744e-02,1.87109,-0.046875,-5.32422,119.687
-7.9736e-02,1.85938,-0.09375,-5.41602,119.961
-7.9728e-02,1.92969,-0.046875,-5.375,119.033
-7.9720e-02,1.93359,0.386719,-5.27773,119.844
-7.9712e-02,1.98438,-0.117188,-5.31211,119.004
-7.9704e-02,2.46094,0.015625,-5.40273,119.004
-7.9696e-02,2.14844,-0.109375,-5.38359,120
-7.9688e-02,2.24219,-0.132812,-5.3168,118.818
-7.9680e-02,2.32812,0.015625,-5.30703,120.156
-7.9672e-02,2.25391,-0.015625,-5.275,119.961
-7.9664e-02,2.85547,0.316406,-5.33516,119.736
-7.9656e-02,2.87891,-0.363281,-5.33633,120.762
-7.9648e-02,3.36328,-0.03125,-5.33906,119.121
-7.9640e-02,2.92578,-0.015625,-5.35781,119.922
-7.9632e-02,3.00781,0.367188,-5.31055,120.078
-7.9624e-02,3.125,0,-5.3707,119.961
-7.9616e-02,3.19922,-0.046875,-5.30703,119.961
-7.9608e-02,3.625,-0.0625,-5.26289,119.697
-7.9600e-02,3.37891,-0.425781,-5.27734,118.955
-7.9592e-02,3.76953,-0.125,-5.24961,119.766
-7.9584e-02,3.8125,-0.046875,-5.32969,119.727
-7.9576e-02,3.97266,0,-5.2168,118.975
-7.9568e-02,3.89062,-0.046875,-5.28164,119.922
-7.9560e-02,3.92969,0.015625,-5.19219,119.922
-7.9552e-02,4.04688,0.359375,-5.14063,119.727
-7.9544e-02,4.15234,-0.105469,-5.14648,119.922
-7.9536e-02,4.26172,-0.03125,-5.30586,119.922
-7.9528e-02,4.33984,0,-5.22578,119.766
-7.9520e-02,4.35156,-0.09375,-5.21289,120.039
-7.9512e-02,4.32812,0,-5.25156,120.83
-7.9504e-02,4.89453,0.03125,-5.20039,118.916
-7.9496e-02,4.91016,-0.0625,-5.21055,119.805
-7.9488e-02,4.95703,-0.328125,-5.18828,119.668
-7.9480e-02,4.66406,-0.09375,-5.20781,119.805
-7.9472e-02,5.42188,-0.125,-5.24297,120.117
-7.9464e-02,5.18359,-0.0625,-5.25039,119.844
-7.9456e-02,5.24609,-0.375,-5.18086,119.697
-7.9448e-02,5.30859,0.015625,-5.15859,119.922
-7.9440e-02,5.72656,-0.09375,-5.22852,120.908
-7.9432e-02,5.38281,0.308594,-5.18789,119.844
-7.9424e-02,5.87891,0.03125,-5.11172,119.727
-7.9416e-02,5.51562,-0.015625,-5.25117,119.844
-7.9408e-02,5.96875,-0.078125,-5.13594,120.039
-7.9400e-02,6.45312,-0.03125,-5.0875,120
-7.9392e-02,6.40625,-0.015625,-5.15586,119.678
-7.9384e-02,6.14062,-0.0625,-5.11523,120.039
-7.9376e-02,6.16797,-0.09375,-5.26094,119.639
-7.9368e-02,6.28125,-0.0625,-5.19453,118.867
-7.9360e-02,6.63672,0.339844,-5.26094,119.062
-7.9352e-02,6.38281,-0.046875,-5.10469,119.883
-7.9344e-02,6.43359,0.355469,-5.10703,119.141
-7.9336e-02,6.78906,-0.03125,-5.08984,119.238
-7.9328e-02,6.94141,0,-5.08008,119.199
-7.9320e-02,6.62109,-0.0625,-5.13711,119.805
-7.9312e-02,7.03125,0,-5.13281,120.234
-7.9304e-02,7.16406,0.414062,-5.06602,119.844
-7.9296e-02,7.16016,-0.121094,-5.18789,119.805
-7.9288e-02,7.22656,0.015625,-5.00078,120.898
-7.9280e-02,7.25,-0.078125,-5.07461,120.195
-7.9272e-02,7.35156,-0.0625,-5.03438,119.922
-7.9264e-02,7.75781,0.324219,-5.1457,119.687
-7.9256e-02,7.81641,-0.421875,-4.9625,118.896
-7.9248e-02,7.51953,-0.105469,-5.02656,119.727
-7.9240e-02,7.92578,-0.09375,-5.00586,119.922
-7.9232e-02,8.00781,0,-5.00156,119.805
-7.9224e-02,8.10938,-0.09375,-4.98984,120.039
-7.9216e-02,8.07812,-0.414062,-4.97734,120.859
-7.9208e-02,7.77734,-0.078125,-4.92461,119.766
-7.9200e-02,8.60156,-0.335938,-4.98125,119.961
-7.9192e-02,8.23047,0.359375,-4.94141,120.937
-7.9184e-02,8.33594,0.015625,-4.89844,119.844
-7.9176e-02,8.69531,-0.078125,-4.92852,119.961
-7.9168e-02,8.50391,-0.109375,-4.87422,119.697
-7.9160e-02,8.85938,0.324219,-4.93789,120
-7.9152e-02,8.89453,-0.0625,-4.85156,119.883
-7.9144e-02,8.89453,-0.382812,-4.96836,119.043
-7.9136e-02,9,-0.425781,-4.92109,120.312
-7.9128e-02,9.01562,-0.121094,-4.89063,119.766
-7.9120e-02,9.125,0.0625,-4.87852,119.727
-7.9112e-02,9.13281,-0.109375,-4.95195,118.955
-7.9104e-02,9.31641,-0.03125,-4.90703,119.697
-7.9096e-02,9.27734,0,-4.9125,119.033
-7.9088e-02,9.73438,-0.03125,-4.7125,119.727
-7.9080e-02,9.35938,-0.121094,-4.7832,118.984
-7.9072e-02,9.85938,-0.078125,-4.79102,119.961
-7.9064e-02,9.48047,-0.046875,-4.85039,120.068
-7.9056e-02,9.91016,-0.105469,-4.87969,120.039
-7.9048e-02,9.60547,-0.078125,-4.7082,119.697
-7.9040e-02,9.9375,0.015625,-4.8332,120.771
-7.9032e-02,10.4336,0,-4.74727,119.961
-7.9024e-02,10.1758,0.0625,-4.82461,119.883
-7.9016e-02,10.2383,0,-4.75117,119.697
-7.9008e-02,10.2148,-0.046875,-4.76289,119.131
-7.9000e-02,10.7305,-0.046875,-4.8125,119.922
-7.8992e-02,10.7734,-0.0625,-4.76836,120
-7.8984e-02,10.8125,-0.09375,-4.67227,119.922
-7.8976e-02,10.8984,0.015625,-4.75938,119.805
-7.8968e-02,10.8945,-0.03125,-4.78359,119.805
-7.8960e-02,10.9414,-0.078125,-4.70508,118.799
-7.8952e-02,11.1094,-0.09375,-4.71367,119.082
-7.8944e-02,11.0312,-0.046875,-4.66641,120.039
-7.8936e-02,11.2266,-0.109375,-4.70156,119.775
-7.8928e-02,11.2188,0.046875,-4.67422,119.766
-7.8920e-02,11.2812,-0.363281,-4.73789,120.273
-7.8912e-02,11.707,-0.0625,-4.68125,119.922
-7.8904e-02,11.3672,-0.03125,-4.63789,118.857
-7.8896e-02,11.7891,-0.359375,-4.5875,120.039
-7.8888e-02,11.9102,0.046875,-4.65703,120
-7.8880e-02,11.8984,-0.015625,-4.6293,118.926
-7.8872e-02,11.9844,-0.015625,-4.45664,119.805
-7.8864e-02,12.0234,-0.0625,-4.5168,120.078
-7.8856e-02,12.0508,0,-4.67461,120.039
-7.8848e-02,12.1992,-0.121094,-4.49375,120.156
-7.8840e-02,12.1914,-0.078125,-4.50234,120.117
-7.8832e-02,12.2852,-0.40625,-4.53867,119.121
-7.8824e-02,12.6992,-0.015625,-4.65898,119.766
-7.8816e-02,12.3984,-0.316406,-4.50586,119.014
-7.8808e-02,12.4766,-0.015625,-4.49727,119.961
-7.8800e-02,12.9258,0.332031,-4.58633,120
-7.8792e-02,12.957,-0.03125,-4.55664,120.898
-7.8784e-02,13.0156,-0.03125,-4.51133,118.965
-7.8776e-02,13.0469,0.015625,-4.52344,119.766
-7.8768e-02,13.1953,0.046875,-4.50586,119.814
-7.8760e-02,13.2461,-0.0625,-4.43398,119.961
-7.8752e-02,13.375,-0.03125,-4.46602,119.883
-7.8744e-02,13.3906,0.332031,-4.3707,120.654
-7.8736e-02,13.4219,0.375,-4.47344,119.199
-7.8728e-02,13.4805,0.03125,-4.41992,119.922
-7.8720e-02,13.6016,0.136719,-4.35195,120.195
-7.8712e-02,13.8945,-0.046875,-4.36641,120.889
-7.8704e-02,14.0469,0.0625,-4.24727,119.59
-7.8696e-02,14.0938,0,-4.36172,119.883
-7.8688e-02,14.543,0.03125,-4.37617,118.701
-7.8680e-02,14.5664,0.351562,-4.24414,119.766
-7.8672e-02,14.6289,0.421875,-4.22813,119.766
-7.8664e-02,14.3516,0.347656,-4.34805,119.697
-7.8656e-02,14.8008,0.355469,-4.29219,120.156
-7.8648e-02,14.918,-0.382812,-4.18516,119.727
-7.8640e-02,14.457,-0.046875,-4.29844,119.658
