Wavelength,AKL,QDL,,,OFFSET:,Wavelength,Mit QDL,D QDL,,PHI Ref,D REF,Referenz,,Korrekturfaktoren
356,0.013138,3.738647,,,,660,1.805018,10.678617,,11763.340,7.422,3.853,,2.13443794466316
357,0.014157,4.039829,,,,665,1.776945,9.993192,,11944.010,7.145,3.738,,2.10335049199609
358,0.015611,4.425919,,,,670,1.737697,9.359828,,12128.030,6.853,3.615,,2.08021454258136
359,0.01612,4.808949,,,,675,1.697284,8.567737,,12326.040,6.590,3.499,,2.06135382764464
360,0.017042,5.50286,,,,680,1.618569,7.806525,,12513.910,6.255,3.348,,2.06864071287662
361,0.017793,6.521677,,,,685,1.539054,6.971951,,12682.960,5.932,3.201,,2.08007195978829
362,0.018376,8.163466,,,,690,1.461357,6.223495,,12849.170,5.624,3.053,,2.08895820117877
363,0.019127,9.358616,,,,695,1.379151,5.628344,,13005.720,5.351,2.926,,2.12193629269021
364,0.020872,10.566525,,,,700,1.299563,4.88589,,13160.820,5.056,2.787,,2.14434632257151
365,0.022109,11.538011,,,,705,1.250811,4.280465,,13312.250,4.845,2.684,,2.14541735721864
366,0.023538,12.49501,,,,710,1.185017,3.667131,,13470.130,4.568,2.556,,2.15731952368616
367,0.023709,13.797406,,,,715,1.153357,3.30286,,13641.800,4.416,2.483,,2.15312284921321
368,0.024339,15.072556,,,,720,1.093794,2.727102,,13817.110,4.145,2.344,,2.14279513327007
369,0.025866,16.856222,,,,725,1.042109,2.170738,,13957.200,3.906,2.223,,2.13347937691739
370,0.027127,17.93195,,,,730,1.013454,1.833192,,14099.710,3.733,2.134,,2.10539894262591
371,0.028775,18.235615,,,,735,0.992605,1.423495,,14222.780,3.576,2.062,,2.07727888737212
372,0.029526,18.212585,,,,740,0.965551,1.087737,,14343.940,3.428,1.985,,2.05633143148316
373,0.0304,17.974375,,,,745,0.933212,0.954981,,14460.970,3.251,1.896,,2.03142074898308
374,0.031926,17.657434,,,,750,0.888169,0.774375,,14575.280,3.040,1.783,,2.00746419881802
375,0.033212,17.312555,,,,755,0.867491,0.660435,,14730.630,2.950,1.737,,2.00198710995273
376,0.03486,17.093798,,,,760,0.874254,0.674981,,14879.160,2.939,1.742,,1.99244907086499
